FIFO_-1
perfect  10829  , start 0.000000, end_time 500.000000
real_exp        , start 0.000000, end_time 534.918150

perfect  10830  , start 0.000000, end_time 1000.000000
real_exp        , start 25.454537, end_time 1065.365646

perfect  10831  , start 0.000000, end_time 1500.000000
real_exp        , start 0.391317, end_time 1555.293570

perfect  10832  , start 0.000000, end_time 2000.000000
real_exp        , start 2.636477, end_time 2054.564178

perfect  10833  , start 0.000000, end_time 2500.000000
real_exp        , start 5.008772, end_time 2544.033710

FIFO_-2
perfect  10842  , start 0.000000, end_time 80000.000000
real_exp        , start 0.000000, end_time 82376.561201

perfect  10843  , start 100.000000, end_time 85000.000000
real_exp        , start 103.248964, end_time 87065.164543

perfect  10844  , start 200.000000, end_time 86000.000000
real_exp        , start 199.742177, end_time 87860.680145

perfect  10845  , start 300.000000, end_time 87000.000000
real_exp        , start 295.916787, end_time 88531.495665

FIFO_-3
perfect  10862  , start 0.000000, end_time 8000.000000
real_exp        , start 0.000000, end_time 8034.817246

perfect  10863  , start 200.000000, end_time 13000.000000
real_exp        , start 208.822967, end_time 13005.669617

perfect  10864  , start 300.000000, end_time 16000.000000
real_exp        , start 290.300535, end_time 15932.027946

perfect  10865  , start 400.000000, end_time 17000.000000
real_exp        , start 387.728062, end_time 16872.387408

perfect  10866  , start 500.000000, end_time 18000.000000
real_exp        , start 484.984092, end_time 17814.957272

perfect  10867  , start 500.000000, end_time 19000.000000
real_exp        , start 487.599836, end_time 18734.291844

perfect  10868  , start 600.000000, end_time 23000.000000
real_exp        , start 581.569684, end_time 22555.551870

FIFO_-4
perfect  10883  , start 0.000000, end_time 2000.000000
real_exp        , start 0.000000, end_time 1987.884569

perfect  10884  , start 500.000000, end_time 2500.000000
real_exp        , start 479.787207, end_time 2480.750803

perfect  10885  , start 500.000000, end_time 2700.000000
real_exp        , start 480.593318, end_time 2663.744228

perfect  10886  , start 1500.000000, end_time 3200.000000
real_exp        , start 1442.833172, end_time 3145.481162

FIFO_-5
perfect  10895  , start 0.000000, end_time 8000.000000
real_exp        , start 0.000000, end_time 8221.971105

perfect  10896  , start 200.000000, end_time 13000.000000
real_exp        , start 224.557527, end_time 13241.543947

perfect  10897  , start 200.000000, end_time 16000.000000
real_exp        , start 215.229019, end_time 16231.300124

perfect  10898  , start 400.000000, end_time 17000.000000
real_exp        , start 419.280718, end_time 17197.504068

perfect  10899  , start 400.000000, end_time 18000.000000
real_exp        , start 421.034710, end_time 18127.816260

perfect  10900  , start 600.000000, end_time 19000.000000
real_exp        , start 625.507149, end_time 19068.079531

perfect  10901  , start 600.000000, end_time 23000.000000
real_exp        , start 611.651432, end_time 22926.359225

RR_-1
perfect  10916  , start 0.000000, end_time 500.000000
real_exp        , start 15.908342, end_time 517.771829

perfect  10917  , start 0.000000, end_time 1000.000000
real_exp        , start 12.897774, end_time 1000.859091

perfect  10918  , start 0.000000, end_time 1500.000000
real_exp        , start 0.000000, end_time 1495.734048

perfect  10919  , start 0.000000, end_time 2000.000000
real_exp        , start 0.325920, end_time 1978.774662

perfect  10920  , start 0.000000, end_time 2500.000000
